"Año","Municipios","Subregión","Area en Pasto de Corte (Hectarea)","Area en Pasto Natural (Hectarea)","Area en Pasto Mejorado (Hectarea)","Area en Pasto Cultivo Forrajero (Hectarea)","Área en Pasto Sistema Silvopastoril (Hectárea)","Total (Hectareas)"
"2,011","El Roble","Sabanas","22.00","15,546.00","null","null","null","15,568.00"
"2,011","Galeras","Sabanas","94.00","29,953.00","null","null","null","30,047.00"
"2,011","Guaranda","Mojana","null","14,900.00","6,000.00","null","null","20,900.00"
"2,011","La Unión","San Jorge","27.00","20,050.00","1,328.00","null","null","21,405.00"
"2,011","Los Palmitos","Sabanas","75.00","14,900.00","null","10.00","null","14,985.00"
"2,011","Majagual","Mojana","null","45,000.00","25,000.00","null","null","70,000.00"
"2,011","Morroa","Montes de María","220.00","14,000.00","1,020.00","null","null","15,240.00"
"2,011","Ovejas","Montes de María","60.00","12,000.00","null","null","null","12,060.00"
"2,011","Sampués","Sabanas","300.00","15,100.00","120.00","80.00","200.00","15,800.00"
"2,011","San Antonio de Palmito","Morrosquillo","80.00","8,924.00","7,600.00","null","19.00","16,623.00"
"2,011","San Benito Abad","San Jorge","50.00","35,000.00","22,000.00","null","null","57,050.00"
"2,011","San Juan de Betulia","Sabanas","40.00","20,960.00","55.00","null","null","21,055.00"
"2,011","San Marcos","San Jorge","490.00","33,085.00","37,310.00","160.00","null","71,045.00"
"2,011","San Onofre","Morrosquillo","988.00","74,899.00","2,903.00","null","1,838.00","80,628.00"
"2,011","San Pedro","Sabanas","385.00","18,985.00","120.00","null","15.00","19,505.00"
"2,011","San Luis de Sincé","Sabanas","205.00","35,500.00","55.00","140.00","2.00","35,902.00"
"2,011","Sucre","Mojana","null","32,600.00","1,600.00","null","null","34,200.00"
"2,011","Santiago de Tolú","Golfo de Morrosquillo","120.00","19,510.00","6,750.00","null","null","26,380.00"
"2,011","Toluviejo","Golfo de Morrosquillo","244.00","20,343.00","3,000.00","150.00","null","23,737.00"
"2,012","Sincelejo","Sabanas","373.00","22,000.00","582.00","null","null","22,955.00"
"2,012","Buenavista","Sabanas","178.00","9,005.00","255.00","5.00","20.00","9,463.00"
"2,012","Caimito","San Jorge","null","8,381.00","18,350.00","null","null","26,731.00"
"2,012","Chalán","Montes de María","6.50","2,083.00","4.00","null","null","2,093.50"
"2,012","Colosó","Montes de María","108.00","7,000.00","40.00","null","20.00","7,168.00"
"2,012","Corozal","Sabanas","150.00","14,980.00","38.00","47.00","null","15,215.00"
"2,012","Coveñas","Morrosquillo","4.00","1,300.00","500.00","4.00","null","1,808.00"
"2,012","El Roble","Sabanas","22.00","15,546.00","null","null","null","15,568.00"
"2,012","Galeras","Sabanas","103.00","29,944.00","null","null","null","30,047.00"
"2,012","Guaranda","Mojana","null","14,900.00","6,000.00","null","null","20,900.00"
"2,012","La Unión","San Jorge","27.00","20,050.00","1,328.00","null","null","21,405.00"
"2,012","Los Palmitos","Sabanas","65.00","14,900.00","null","15.00","null","14,980.00"
"2,012","Majagual","Mojana","20.00","54,000.00","8,980.00","null","null","63,000.00"
"2,012","Morroa","Montes de María","250.00","15,000.00","1,200.00","null","null","16,450.00"
"2,012","Ovejas","Montes de María","80.00","12,000.00","150.00","null","null","12,230.00"
"2,012","Sampués","Sabanas","300.00","15,100.00","150.00","50.00","200.00","15,800.00"
"2,012","San Antonio de Palmito","Morrosquillo","55.00","9,020.00","7,504.00","null","19.00","16,598.00"
"2,012","San Benito Abad","San Jorge","60.00","45,000.00","22,000.00","null","null","67,060.00"
"2,012","San Juan de Betulia","Sabanas","38.00","18,340.00","45.00","null","null","18,423.00"
"2,012","San Marcos","San Jorge","530.00","29,980.00","40,325.00","210.00","null","71,045.00"
"2,012","San Onofre","Morrosquillo","1,073.00","72,934.00","3,703.00","80.00","2,838.00","80,628.00"
"2,012","San Pedro","Sabanas","398.00","17,882.00","130.00","null","21.00","18,431.00"
"2,012","San Luis de Sincé","Sabanas","255.00","35,560.00","70.00","110.00","3.00","35,998.00"
"2,012","Sucre","Mojana","null","32,600.00","1,600.00","null","null","34,200.00"
"2,012","Santiago de Tolú","Golfo de Morrosquillo","150.00","19,510.00","6,750.00","null","null","26,410.00"
